User: "6_GULLIT" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 374.6
User: "6_GULLIT" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 320.6
User: "adrianzurdo_sfc" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_wingers | PJ: 13 | Pts: 118.7
User: "adrilopez710" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cb | PJ: 18 | Pts: 265.8
User: "aitorgarcia1998" | Team: "ALPHA WOLFS" (Alpha-WolfS) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 208.1
User: "AitorRdguez" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 248.5
User: "AitorRdguez" | Team: "LTK ESPORTS" (ltk-esports) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 220.5
User: "Alecastillo" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_strikers | PJ: 8 | Pts: 90.2
User: "Aleeez4" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 179.1
User: "alex-_-ac130" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_cb | PJ: 18 | Pts: 232.2
User: "AlmeOtF" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_wingers | PJ: 18 | Pts: 233.3
User: "AMB_LMG" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_gk | PJ: 4 | Pts: 40.5
User: "andresdiiaaz" | Team: "BANANO ESPORTS" (banano-esport) | Pos: undefined | LB: top_gk | PJ: 18 | Pts: 214.1
User: "antoniiomods" | Team: "90min FC" (90min) | Pos: undefined | LB: top_gk | PJ: 20 | Pts: 280.5
User: "AntonioGuerraXI" | Team: "AD CEUTA ESPORTS" (adceuta-esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 285.2
User: "arjoniiitaa_g4" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cdm | PJ: 14 | Pts: 281
User: "arjoniiitaa_g4" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 345.2
User: "BabaEspumosa" | Team: "CE EUROPA ESPORTS" (ce-europa-esports) | Pos: undefined | LB: top_fb | PJ: 1 | Pts: 0
User: "bojan_9000" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cdm | PJ: 14 | Pts: 210.9
User: "bojan_9000" | Team: "SUZAKU ESPORTS" (SUZAKU-ESPORTS) | Pos: undefined | LB: top_cam | PJ: 12 | Pts: 147.4
User: "Bools_10" | Team: "JAM ESPORTS" (JAM-ES) | Pos: undefined | LB: top_cam | PJ: 10 | Pts: 98.7
User: "borealito" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_cdm | PJ: 14 | Pts: 195.9
User: "BstiaaL" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_cb | PJ: 20 | Pts: 232.8
User: "byfonzo_" | Team: "CRYZEN GAMING" (cryzen-gaming-weewklas) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 231.3
User: "bysima10" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_strikers | PJ: 15 | Pts: 198.7
User: "caarloscorralees" | Team: "ZENTURIONS" (monta-esports-club) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 463
User: "chamiisanchez1" | Team: "90min FC" (90min) | Pos: undefined | LB: top_cam | PJ: 12 | Pts: 144.3
User: "charlyy2295" | Team: "VentuCorp" (VentuCorpEAFC) | Pos: undefined | LB: top_wingers | PJ: 6 | Pts: 89.6
User: "cris-borras" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_gk | PJ: 16 | Pts: 197.2
User: "cristitos98" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cdm | PJ: 20 | Pts: 348.2
User: "cristitos98" | Team: "GMK Villarreal CF" (Team-GMASK) | Pos: undefined | LB: top_cam | PJ: 20 | Pts: 302.2
User: "Dape10" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_wingers | PJ: 20 | Pts: 248.4
User: "DarthScrypter" | Team: "Tempus Esports" (Tempus-Esports) | Pos: undefined | LB: top_gk | PJ: 20 | Pts: 224.4
